_id,locationId,locationName,locationType,address,city,postal_code,addressInfo,lat,long,dates,hours,info,phone,phoneExt,phoneAlt,phoneAltExt,website,accessibility,sameDayAppt,active,temporarily_closed,pharmacy,operated_by,location_name_fr,operated_by_fr,address_fr,province,PHU,PHU_fr,monday,tuesday,wednesday,thursday,friday,saturday,sunday,appointments,online_appointments,phone_appointments,walk_ins,symptomatic,drive_through,general_population,children_under_2,age_threshold,weeks_pregnant,french_language_services,accessible,asl_interpretation,first_nations,free_parking,paid_parking,public_transit,additional_information,additional_information_fr,Monday_Open,Monday_Closed,Tuesday_Open,Tuesday_Closed,Wednesday_Open,Wednesday_Closed,Thursday_Open,Thursday_Closed,Friday_Open,Friday_Closed,Saturday_Open,Saturday_Closed,Sunday_Open,Sunday_Closed,Data_Source,OBJECTID,geometry
17454,156.0,The Hangar,City-operated Immunization Clinic,75 Carl Hall Road,,,,,-79.473832253967,,11 a.m. to 8 p.m.,By appointment only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,16,"{u'type': u'Point', u'coordinates': (-79.473832254, 43.748094044)}"
17455,157.0,Scarborough Town Centre,City-operated Immunization Clinic,300 Borough Drive,,,,,-79.258930615442,,11 a.m. to 8 p.m.,By appointment only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,17,"{u'type': u'Point', u'coordinates': (-79.2589306154, 43.7769902318)}"
17456,152.0,Carmine Stefano Community Centre,City-operated Immunization Clinic,3100 Weston Road,,,,,-79.53922273264,,,"Opening April 12, by appointment only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,18,"{u'type': u'Point', u'coordinates': (-79.5392227326, 43.7331551777)}"
17457,158.0,Cloverdale Mall,City-operated Immunization Clinic,250 The East Mall,,,,,-79.556501959627,,,"Opening April 12, by appointment only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,19,"{u'type': u'Point', u'coordinates': (-79.5565019596, 43.6326036122)}"
17458,150.0,Mitchell Field Arena,City-operated Immunization Clinic,89 Church Avenue,,,,,-79.408229001951,,11 a.m. to 8 p.m.,By appointment only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,20,"{u'type': u'Point', u'coordinates': (-79.408229002, 43.7746375589)}"
17459,151.0,North Toronto Memorial Community Centre,City-operated Immunization Clinic,200 Eglinton Avenue West,,,,,-79.404512973117,,,"Opening April 12, by appointment only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,21,"{u'type': u'Point', u'coordinates': (-79.4045129731, 43.7070751372)}"
17460,153.0,Metro Toronto Convention Centre,City-operated Immunization Clinic,277 Front Street West,,,,,-79.38677621544599,,11 a.m. to 8 p.m.,By appointment only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,22,"{u'type': u'Point', u'coordinates': (-79.3867762154, 43.6440254753)}"
17461,154.0,Toronto Congress Centre,City-operated Immunization Clinic,650 Dixon Road,,,,,-79.57827565962499,,11 a.m. to 8 p.m.,By appointment only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,23,"{u'type': u'Point', u'coordinates': (-79.5782756596, 43.6926992726)}"
17462,155.0,Malvern Community Recreation Centre,City-operated Immunization Clinic,30 Sewells Road,,,,,-79.21632351729299,,11 a.m. to 8 p.m.,By appointment only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,24,"{u'type': u'Point', u'coordinates': (-79.2163235173, 43.8083401584)}"
17463,186.0,Humber River Hospital COVax Vaccine Clinic - Downsview Arena,Hospital Immunization Clinic,1633 Wilson Avenue,,,,,-79.51268618846,,,By appointment only. Accessible and parking is available.,,,,,https://www.hrh.ca/covax-clinic-booking/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,25,"{u'type': u'Point', u'coordinates': (-79.5126861885, 43.7191785075)}"
17464,187.0,Michael Garron Hospital,Hospital Immunization Clinic,825 Coxwell Avenue,,,,,-79.324879659625,,,By appointment only. Accessible and parking is available.,,,,,https://tehn.ca/covid19/covid-19-vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,26,"{u'type': u'Point', u'coordinates': (-79.3248796596, 43.6900885001)}"
17465,188.0,North York Family Health Team Vaccination Clinic,Hospital Immunization Clinic,240 Duncan Mill Road,,,,,-79.351452284114,,,By appointment only. Accessible and parking is available.,,,,,https://www.nygh.on.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,27,"{u'type': u'Point', u'coordinates': (-79.3514522841, 43.7623917075)}"
17466,193.0,St. Michael's Hospital - Peter Gilgan Patient Care Tower,Hospital Immunization Clinic,36 Queen Street East (northeast corner of Queen Street East and Victoria Street),,,,,-79.377816570202,,,By appointment only. Accessible and limited parking.,,,,,https://unityhealth.to/covid-19-vaccination-clinic/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,28,"{u'type': u'Point', u'coordinates': (-79.3778165702, 43.652934046)}"
17467,192.0,St. Joseph's Health Centre,Hospital Immunization Clinic,30 The Queensway,,,,,-79.449623573119,,,By appointment only. Accessible and parking is available.,,,,,https://unityhealth.to/covid-19-vaccination-clinic/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,29,"{u'type': u'Point', u'coordinates': (-79.4496235731, 43.6392742551)}"
17468,191.0,SHN Centenary Clinic,Hospital Immunization Clinic,2867 Ellesmere Road,,,,,-79.206660232638,,,By appointment only. Accessible and parking is available.,,,,,https://www.scarboroughcovidvaccineclinic.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,30,"{u'type': u'Point', u'coordinates': (-79.2066602326, 43.7823980114)}"
17469,190.0,Seneca College Vaccination Clinic,Hospital Immunization Clinic,1750 Finch Avenue East,,,,,-79.349676663484,,,By appointment only. Accessible and parking is available.,,,,,https://www.nygh.on.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,31,"{u'type': u'Point', u'coordinates': (-79.3496766635, 43.7953239582)}"
17470,189.0,NYGH Vaccination Clinic,Hospital Immunization Clinic,4001 Leslie Street,,,,,-79.36320180195099,,,By appointment only. Accessible and parking is available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,32,"{u'type': u'Point', u'coordinates': (-79.363201802, 43.769755821)}"
17471,194.0,Sunnybrook Vaccination Clinic,Hospital Immunization Clinic,2075 Bayview Avenue,,,,,-79.37285344428001,,,By appointment only. Accessible and parking is available.,,,,,https://sunnybrook.ca/content/?page=novel-coronavirus-covid-19-vaccine-information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,33,"{u'type': u'Point', u'coordinates': (-79.3728534443, 43.723055027)}"
17472,195.0,University Health Network and Mid-West Toronto Ontario Health Team Clinics - MaRS Clinic,Hospital Immunization Clinic,101 College Street,,,,,-79.38872377497,,,By appointment only. Please enter through 101 College Street and prepare to answer screening questions before entering the building.,,,,,https://www.uhn.ca/covid19_vaccine/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,34,"{u'type': u'Point', u'coordinates': (-79.388723775, 43.6601082997)}"
17473,196.0,University Health Network and Mid-West Toronto Ontario Health Team Clinics - Michener Clinic,Hospital Immunization Clinic,153 McCaul Street,,,,,-79.391552673118,,,By appointment only. Please enter through 153 McCaul Street (corner of McCaul and Elm) and prepare to answer screening questions before entering the building.,,,,,https://www.uhn.ca/covid19_vaccine/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,35,"{u'type': u'Point', u'coordinates': (-79.3915526731, 43.6556402754)}"
17474,197.0,University Health Network and Mid-West Toronto Ontario Health Team Clinics - BMO Conference Centre at Krembil Discovery Tower,Hospital Immunization Clinic,60 Leonard Avenue,,,,,-79.405053273118,,,"By appointment only. Please use the Leonard Avenue entrance and prepare to answer screening questions before entering the building. You will not be able to enter through the main hospital entrances, and there is no access to the BMO Conference Centre from inside TWH.",,,,,https://www.uhn.ca/covid19_vaccine/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,36,"{u'type': u'Point', u'coordinates': (-79.4050532731, 43.6543487543)}"
17475,198.0,Warden Hilltop Community Centre,Hospital Immunization Clinic,25 Mendelssohn Street,,,,,-79.280742319149,,,By appointment only. Accessible and parking is available.,,,,,https://tehn.ca/covid19/covid-19-vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,37,"{u'type': u'Point', u'coordinates': (-79.2807423191, 43.7147963542)}"
17476,204.0,CAMH Vaccination Clinic,Hospital Immunization Clinic,100 Stokes Street,,,,,-79.419124457775,,,By appointment only. Accessible and parking is available.,,,,,http://www.camh.ca/covidvaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,38,"{u'type': u'Point', u'coordinates': (-79.4191244578, 43.6435220047)}"
17477,209.0,West Park Healthcare Centre,Hospital Immunization Clinic,82 Buttonwood Avenue,,,,,-79.508040174969,,,By appointment only. Accessible and parking is available.,,,,,https://www.westpark.org/en/PatientsAndFamilies/COVID-19/VaccinationClinics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,39,"{u'type': u'Point', u'coordinates': (-79.508040175, 43.6899193586)}"
17478,201.0,East York Town Centre,Hospital Immunization Clinic,45 Overlea Boulevard,,,,,-79.346049059625,,,"Opening March 24, by appointment only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,40,"{u'type': u'Point', u'coordinates': (-79.3460490596, 43.7059814191)}"
17479,208.0,University Health Network - University of Toronto - St. George's Campus Vaccination Clinic,Hospital Immunization Clinic,255 McCaul Street (entrance through main doors on McCaul Street),,,,,-79.392924501954,,,By appointment only through the provincial booking system. This clinic is open to anyone within the current phase of eligibility.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,41,"{u'type': u'Point', u'coordinates': (-79.392924502, 43.6587468897)}"
17480,185.0,Centennial College Progress Campus Clinic,Hospital Immunization Clinic,941 Progress Avenue,,,,,-79.22820230194999,,,By appointment only. Accessible and parking is available.,,,,,https://www.scarboroughcovidvaccineclinic.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,42,"{u'type': u'Point', u'coordinates': (-79.228202302, 43.7856263716)}"
17481,205.0,William Osler - Etobicoke Site,Hospital Immunization Clinic,101 Humber College Boulevard,,,,,-79.59760262763001,,,By appointment only.,,,,,https://www.williamoslerhs.ca/en/visiting-us/covid-19-vaccine-clinic.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,43,"{u'type': u'Point', u'coordinates': (-79.5976026276, 43.7293287009)}"
